7,7,7,9,9,9,7,7,7,7,7,7,7,7,7,7
7,7,7,9,9,9,7,7,7,7,7,7,7,7,7,7
7,7,7,1,9,9,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,5,7,7,7,7,7,7,5,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7
7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7
7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7
7,7,7,7,7,7,5,7,7,7,7,7,7,7,5,5
7,7,7,5,5,7,5,7,7,7,7,7,7,7,5,5
7,7,7,7,5,5,5,7,7,7,7,7,7,7,7,7
7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
